trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
271,False,"{'a': 0.5, 'e': 0.4579999999999995}",25,7,-102.31366470609767,"{0: 11, 1: 0, 2: 4, 3: 2, 4: 1}",1
272,False,"{'a': 0.5, 'e': 0.4559999999999995}",25,11,-7.851285336857598,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 0}",1
273,False,"{'a': 0.5, 'e': 0.4539999999999995}",25,0,-49.818658820425554,"{0: 18, 1: 3, 2: 2, 3: 2, 4: 0}",0
274,False,"{'a': 0.5, 'e': 0.4519999999999995}",30,10,-44.541956461647764,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",1
275,False,"{'a': 0.5, 'e': 0.4499999999999995}",20,13,13.09743808984069,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
276,False,"{'a': 0.5, 'e': 0.4479999999999995}",25,2,-30.22960450833259,"{0: 18, 1: 0, 2: 4, 3: 1, 4: 0}",1
277,False,"{'a': 0.5, 'e': 0.4459999999999995}",30,9,8.800467695682583,"{0: 18, 1: 1, 2: 2, 3: 0, 4: 0}",1
278,False,"{'a': 0.5, 'e': 0.4439999999999995}",25,17,1.3973898183615723,"{0: 6, 1: 2, 2: 0, 3: 0, 4: 0}",1
279,False,"{'a': 0.5, 'e': 0.4419999999999995}",20,3,-30.432564094522455,"{0: 12, 1: 1, 2: 3, 3: 1, 4: 0}",1
280,False,"{'a': 0.5, 'e': 0.4399999999999995}",35,12,-12.841228656765411,"{0: 19, 1: 0, 2: 4, 3: 0, 4: 0}",1
281,False,"{'a': 0.5, 'e': 0.4379999999999995}",20,12,3.5013692302978647,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
282,False,"{'a': 0.5, 'e': 0.4359999999999995}",20,11,18.011117178899113,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
283,False,"{'a': 0.5, 'e': 0.4339999999999995}",30,0,-98.32918012821979,"{0: 22, 1: 1, 2: 5, 3: 0, 4: 2}",0
284,False,"{'a': 0.5, 'e': 0.4319999999999995}",25,0,-17.025634074680518,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
285,False,"{'a': 0.5, 'e': 0.4299999999999995}",20,3,-51.61825754652389,"{0: 12, 1: 2, 2: 2, 3: 0, 4: 1}",1
286,False,"{'a': 0.5, 'e': 0.4279999999999995}",20,3,-17.01048126362015,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 1}",1
287,False,"{'a': 0.5, 'e': 0.4259999999999995}",30,0,-130.14196664263747,"{0: 24, 1: 1, 2: 0, 3: 2, 4: 3}",0
288,False,"{'a': 0.5, 'e': 0.4239999999999995}",20,11,11.690838531326799,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
289,False,"{'a': 0.5, 'e': 0.4219999999999995}",20,0,-35.35791268892723,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
290,False,"{'a': 0.5, 'e': 0.4199999999999995}",20,8,9.778240016340554,"{0: 10, 1: 2, 2: 0, 3: 0, 4: 0}",1
291,False,"{'a': 0.5, 'e': 0.4179999999999995}",25,7,-3.9125170604905377,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 0}",1
292,False,"{'a': 0.5, 'e': 0.4159999999999995}",35,8,-30.31154553115456,"{0: 21, 1: 2, 2: 3, 3: 1, 4: 0}",1
293,False,"{'a': 0.5, 'e': 0.4139999999999995}",20,0,-35.87493819276921,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
294,False,"{'a': 0.5, 'e': 0.4119999999999995}",25,17,3.489183018959856,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
295,False,"{'a': 0.5, 'e': 0.4099999999999995}",20,0,-29.01808592968665,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
296,False,"{'a': 0.5, 'e': 0.4079999999999995}",25,8,3.3006819649437587,"{0: 14, 1: 2, 2: 1, 3: 0, 4: 0}",1
